gene_id	sample_id	your_fpkm	nfcore_fpkm	diff	abs_diff
AT1G55670	SRR11047175	2484.961182	2562.600830	-77.639648	77.639648
AT2G05520	SRR11047175	1079.997070	1003.460388	76.536682	76.536682
AT5G02500	SRR11047173	670.911133	746.020447	-75.109314	75.109314
AT1G55670	SRR11047176	2679.502930	2752.652344	-73.149414	73.149414
AT1G58684	SRR11047174	92.343704	20.326885	72.016819	72.016819
AT1G73885	SRR11047173	326.218079	254.826355	71.391724	71.391724
AT1G59359	SRR11047174	89.608139	19.774424	69.833715	69.833715
AT2G01010	SRR11047174	139.799622	70.821754	68.977868	68.977868
AT1G73885	SRR11047174	319.568298	251.042511	68.525787	68.525787
AT1G73885	SRR11047176	338.813843	270.565277	68.248566	68.248566
