Geneid	SRR11047173	SRR11047174	SRR11047175	SRR11047176
AT3G29400	8.385110	6.593535	6.368590	6.956994
AT3G29410	0.000000	0.000000	0.569659	0.193453
AT3G29430	0.000000	0.000000	0.000000	0.000000
AT3G29450	0.000000	0.000000	0.000000	0.000000
AT3G29455	0.000000	0.000000	0.000000	0.000000
AT3G29560	0.000000	0.000000	0.000000	0.000000
AT3G29570	0.000000	0.000000	0.000000	0.000000
AT3G29575	16.358622	10.913439	12.167977	17.405266
AT3G29580	0.000000	0.000000	0.000000	0.000000
AT3G29590	0.000000	0.000000	3.460026	0.000000
AT3G29630	0.000000	0.000000	0.000000	0.000000
AT3G29631	3.263285	1.129785	0.640149	0.713610
AT3G29633	0.314787	0.390427	0.430368	1.171287
AT3G29635	0.000000	0.000000	0.000000	0.000000
AT3G29636	0.000000	0.000000	0.000000	0.000000
AT3G29637	0.000000	0.169797	0.000000	0.000000
AT3G29638	0.000000	0.000000	0.000000	0.000000
AT3G29639	0.457795	0.254572	0.363978	0.639128
AT3G29644	5.178773	6.638530	3.673240	3.406685
AT3G29645	0.000000	0.000000	0.000000	0.000000
AT3G29670	4.361085	3.502273	4.287038	4.332592
AT3G29680	1.401306	1.540252	1.381047	0.767634
AT3G29690	0.000000	0.000000	0.000000	0.195108
AT3G29720	0.000000	0.000000	0.000000	0.000000
AT3G29740	0.000000	0.000000	0.000000	0.000000
AT3G29750	0.000000	0.000000	0.000000	0.000000
AT3G29760	12.185485	12.358844	10.811661	11.512443
AT3G29763	0.000000	0.000000	0.000000	0.000000
AT3G29765	0.000000	0.000000	0.000000	0.000000
AT3G29770	1.707584	1.776173	1.954447	1.550214
AT3G29780	0.000000	0.000000	0.000000	0.000000
AT3G29785	0.000000	0.000000	0.000000	0.000000
AT3G29790	0.000000	0.000000	0.000000	0.000000
AT3G29791	0.000000	0.000000	0.000000	0.000000
AT3G29794	0.000000	0.000000	0.000000	0.000000
AT3G29796	0.000000	0.000000	0.000000	0.000000
AT3G29797	0.000000	0.000000	0.000000	0.000000
AT3G29800	0.000000	0.000000	0.000000	0.000000
AT3G29810	4.812103	3.555681	3.680057	2.704479
AT3G29830	0.000000	0.000000	0.000000	0.000000
AT3G29970	0.000000	0.000000	0.000000	0.000000
AT3G30160	0.000000	0.000000	0.000000	0.000000
AT3G30165	0.000000	0.000000	0.000000	0.000000
AT3G30180	12.816392	8.456449	5.662598	6.817585
AT3G30200	0.000000	0.000000	0.000000	0.000000
AT3G30210	0.000000	0.000000	0.000000	0.000000
